dataset,version,function,rep,time
N/A,pybids-legacy,load_layouts_no_md,0,1034.22
N/A,pybids-legacy,load_layouts,0,6220.03
ds002837,pybids-legacy,print_repr,0,1321.15
ds002837,pybids-legacy,print_repr,1,21.79
ds002837,pybids-legacy,print_repr,2,24.18
ds002837,pybids-legacy,print_repr,3,23.43
ds002837,pybids-legacy,print_repr,4,21.34
ds002837,pybids-legacy,get_return_type_dict,0,17.81
ds002837,pybids-legacy,get_return_type_dict,1,16.02
ds002837,pybids-legacy,get_return_type_dict,2,16.7
ds002837,pybids-legacy,get_return_type_dict,3,15.99
ds002837,pybids-legacy,get_return_type_dict,4,16.29
ds002837,pybids-legacy,all_subjects,0,576.43
ds002837,pybids-legacy,all_subjects,1,27.31
ds002837,pybids-legacy,all_subjects,2,26.75
ds002837,pybids-legacy,all_subjects,3,25.45
ds002837,pybids-legacy,all_subjects,4,25.08
ds002837,pybids-legacy,all_tasks,0,22.39
ds002837,pybids-legacy,all_tasks,1,21.55
ds002837,pybids-legacy,all_tasks,2,20.29
ds002837,pybids-legacy,all_tasks,3,19.66
ds002837,pybids-legacy,all_tasks,4,19.41
ds002837,pybids-legacy,subjects_for_task,0,9.12
ds002837,pybids-legacy,subjects_for_task,1,8.87
ds002837,pybids-legacy,subjects_for_task,2,8.73
ds002837,pybids-legacy,subjects_for_task,3,8.71
ds002837,pybids-legacy,subjects_for_task,4,8.63
ds002837,pybids-legacy,get_niftis_as_files,0,6.4
ds002837,pybids-legacy,get_niftis_as_files,1,6.17
ds002837,pybids-legacy,get_niftis_as_files,2,6.13
ds002837,pybids-legacy,get_niftis_as_files,3,6.24
ds002837,pybids-legacy,get_niftis_as_files,4,6.13
ds002837,pybids-legacy,get_niftis_as_objects,0,6.1
ds002837,pybids-legacy,get_niftis_as_objects,1,6.08
ds002837,pybids-legacy,get_niftis_as_objects,2,6.05
ds002837,pybids-legacy,get_niftis_as_objects,3,6.05
ds002837,pybids-legacy,get_niftis_as_objects,4,6.06
ds002837,pybids-legacy,get_metadata,0,45.99
ds002837,pybids-legacy,get_metadata,1,46.59
ds002837,pybids-legacy,get_metadata,2,46.68
ds002837,pybids-legacy,get_metadata,3,46.49
ds002837,pybids-legacy,get_metadata,4,46.72
N/A,pybids-refactor,load_layouts_no_md,0,1311.5
N/A,pybids-refactor,load_layouts,0,1940.62
ds002837,pybids-refactor,print_repr,0,56.8
ds002837,pybids-refactor,print_repr,1,55.57
ds002837,pybids-refactor,print_repr,2,56.09
ds002837,pybids-refactor,print_repr,3,56.28
ds002837,pybids-refactor,print_repr,4,55.55
ds002837,pybids-refactor,get_return_type_dict,0,104.68
ds002837,pybids-refactor,get_return_type_dict,1,107.95
ds002837,pybids-refactor,get_return_type_dict,2,106.14
ds002837,pybids-refactor,get_return_type_dict,3,113.86
ds002837,pybids-refactor,get_return_type_dict,4,107.0
ds002837,pybids-refactor,all_subjects,0,154.36
ds002837,pybids-refactor,all_subjects,1,154.53
ds002837,pybids-refactor,all_subjects,2,150.58
ds002837,pybids-refactor,all_subjects,3,150.46
ds002837,pybids-refactor,all_subjects,4,152.37
ds002837,pybids-refactor,all_tasks,0,152.05
ds002837,pybids-refactor,all_tasks,1,144.95
ds002837,pybids-refactor,all_tasks,2,147.66
ds002837,pybids-refactor,all_tasks,3,160.47
ds002837,pybids-refactor,all_tasks,4,163.98
ds002837,pybids-refactor,subjects_for_task,0,165.92
ds002837,pybids-refactor,subjects_for_task,1,163.31
ds002837,pybids-refactor,subjects_for_task,2,154.5
ds002837,pybids-refactor,subjects_for_task,3,151.41
ds002837,pybids-refactor,subjects_for_task,4,151.5
ds002837,pybids-refactor,get_niftis_as_files,0,35.54
ds002837,pybids-refactor,get_niftis_as_files,1,35.55
ds002837,pybids-refactor,get_niftis_as_files,2,35.11
ds002837,pybids-refactor,get_niftis_as_files,3,35.09
ds002837,pybids-refactor,get_niftis_as_files,4,35.38
ds002837,pybids-refactor,get_niftis_as_objects,0,35.36
ds002837,pybids-refactor,get_niftis_as_objects,1,35.37
ds002837,pybids-refactor,get_niftis_as_objects,2,35.48
ds002837,pybids-refactor,get_niftis_as_objects,3,36.57
ds002837,pybids-refactor,get_niftis_as_objects,4,35.65
ds002837,pybids-refactor,get_metadata,0,7.23
ds002837,pybids-refactor,get_metadata,1,7.17
ds002837,pybids-refactor,get_metadata,2,7.56
ds002837,pybids-refactor,get_metadata,3,7.01
ds002837,pybids-refactor,get_metadata,4,7.04
