version,function,rep,time
legacy,load_layouts_no_md,0,1987.81
legacy,load_layouts,0,11395.0
legacy,all_subjects,0,3762.58
legacy,all_subjects,1,52.68
legacy,all_subjects,2,46.4
legacy,all_subjects,3,66.44
legacy,all_subjects,4,49.92
legacy,all_subjects,5,52.46
legacy,all_subjects,6,53.64
legacy,all_subjects,7,52.9
legacy,all_subjects,8,50.09
legacy,all_subjects,9,46.48
legacy,all_tasks,0,43.96
legacy,all_tasks,1,42.44
legacy,all_tasks,2,41.62
legacy,all_tasks,3,44.41
legacy,all_tasks,4,44.1
legacy,all_tasks,5,47.67
legacy,all_tasks,6,39.47
legacy,all_tasks,7,38.56
legacy,all_tasks,8,41.2
legacy,all_tasks,9,43.26
legacy,subjects_for_task,0,19.0
legacy,subjects_for_task,1,18.14
legacy,subjects_for_task,2,21.02
legacy,subjects_for_task,3,23.51
legacy,subjects_for_task,4,19.93
legacy,subjects_for_task,5,21.76
legacy,subjects_for_task,6,20.41
legacy,subjects_for_task,7,18.24
legacy,subjects_for_task,8,20.3
legacy,subjects_for_task,9,20.76
legacy,print_repr,0,80.35
legacy,print_repr,1,64.86
legacy,print_repr,2,62.4
legacy,print_repr,3,61.89
legacy,print_repr,4,55.75
legacy,print_repr,5,52.48
legacy,print_repr,6,54.78
legacy,print_repr,7,50.16
legacy,print_repr,8,53.74
legacy,print_repr,9,45.78
legacy,get_niftis_as_files,0,57.24
legacy,get_niftis_as_files,1,37.71
legacy,get_niftis_as_files,2,79.73
legacy,get_niftis_as_files,3,83.67
legacy,get_niftis_as_files,4,76.05
legacy,get_niftis_as_files,5,74.91
legacy,get_niftis_as_files,6,76.54
legacy,get_niftis_as_files,7,72.8
legacy,get_niftis_as_files,8,73.49
legacy,get_niftis_as_files,9,67.86
legacy,get_niftis_as_objects,0,71.69
legacy,get_niftis_as_objects,1,64.72
legacy,get_niftis_as_objects,2,62.65
legacy,get_niftis_as_objects,3,55.71
legacy,get_niftis_as_objects,4,51.7
legacy,get_niftis_as_objects,5,58.99
legacy,get_niftis_as_objects,6,59.73
legacy,get_niftis_as_objects,7,58.44
legacy,get_niftis_as_objects,8,60.0
legacy,get_niftis_as_objects,9,54.74
legacy,get_metadata,0,67.02
legacy,get_metadata,1,71.31
legacy,get_metadata,2,79.69
legacy,get_metadata,3,91.51
legacy,get_metadata,4,89.72
legacy,get_metadata,5,82.35
legacy,get_metadata,6,80.83
legacy,get_metadata,7,117.27
legacy,get_metadata,8,75.44
legacy,get_metadata,9,97.77
legacy,get_return_type_dict,0,43.89
legacy,get_return_type_dict,1,40.64
legacy,get_return_type_dict,2,41.1
legacy,get_return_type_dict,3,40.75
legacy,get_return_type_dict,4,41.83
legacy,get_return_type_dict,5,43.59
legacy,get_return_type_dict,6,44.39
legacy,get_return_type_dict,7,47.0
legacy,get_return_type_dict,8,57.0
legacy,get_return_type_dict,9,59.15
pybids-refactor,load_layouts_no_md,0,4645.87
pybids-refactor,load_layouts,0,4629.43
pybids-refactor,all_subjects,0,308.29
pybids-refactor,all_subjects,1,311.26
pybids-refactor,all_subjects,2,292.88
pybids-refactor,all_subjects,3,341.94
pybids-refactor,all_subjects,4,370.0
pybids-refactor,all_subjects,5,319.43
pybids-refactor,all_subjects,6,313.02
pybids-refactor,all_subjects,7,279.43
pybids-refactor,all_subjects,8,286.55
pybids-refactor,all_subjects,9,312.21
pybids-refactor,all_tasks,0,301.99
pybids-refactor,all_tasks,1,289.51
pybids-refactor,all_tasks,2,298.39
pybids-refactor,all_tasks,3,322.42
pybids-refactor,all_tasks,4,287.05
pybids-refactor,all_tasks,5,260.89
pybids-refactor,all_tasks,6,326.45
pybids-refactor,all_tasks,7,343.72
pybids-refactor,all_tasks,8,317.27
pybids-refactor,all_tasks,9,308.59
pybids-refactor,subjects_for_task,0,274.98
pybids-refactor,subjects_for_task,1,270.07
pybids-refactor,subjects_for_task,2,268.11
pybids-refactor,subjects_for_task,3,283.06
pybids-refactor,subjects_for_task,4,260.57
pybids-refactor,subjects_for_task,5,267.31
pybids-refactor,subjects_for_task,6,282.88
pybids-refactor,subjects_for_task,7,317.95
pybids-refactor,subjects_for_task,8,304.39
pybids-refactor,subjects_for_task,9,315.46
pybids-refactor,print_repr,0,128.9
pybids-refactor,print_repr,1,120.97
pybids-refactor,print_repr,2,123.45
pybids-refactor,print_repr,3,134.3
pybids-refactor,print_repr,4,137.58
pybids-refactor,print_repr,5,141.57
pybids-refactor,print_repr,6,113.36
pybids-refactor,print_repr,7,118.9
pybids-refactor,print_repr,8,115.96
pybids-refactor,print_repr,9,117.39
pybids-refactor,get_niftis_as_files,0,350.48
pybids-refactor,get_niftis_as_files,1,352.53
pybids-refactor,get_niftis_as_files,2,377.9
pybids-refactor,get_niftis_as_files,3,351.65
pybids-refactor,get_niftis_as_files,4,395.23
pybids-refactor,get_niftis_as_files,5,403.96
pybids-refactor,get_niftis_as_files,6,386.26
pybids-refactor,get_niftis_as_files,7,382.98
pybids-refactor,get_niftis_as_files,8,337.43
pybids-refactor,get_niftis_as_files,9,389.27
pybids-refactor,get_niftis_as_objects,0,426.94
pybids-refactor,get_niftis_as_objects,1,342.02
pybids-refactor,get_niftis_as_objects,2,368.27
pybids-refactor,get_niftis_as_objects,3,362.14
pybids-refactor,get_niftis_as_objects,4,411.04
pybids-refactor,get_niftis_as_objects,5,360.56
pybids-refactor,get_niftis_as_objects,6,347.25
pybids-refactor,get_niftis_as_objects,7,368.83
pybids-refactor,get_niftis_as_objects,8,376.21
pybids-refactor,get_niftis_as_objects,9,352.3
pybids-refactor,get_metadata,0,13.29
pybids-refactor,get_metadata,1,11.9
pybids-refactor,get_metadata,2,11.49
pybids-refactor,get_metadata,3,11.56
pybids-refactor,get_metadata,4,10.77
pybids-refactor,get_metadata,5,11.65
pybids-refactor,get_metadata,6,11.27
pybids-refactor,get_metadata,7,10.56
pybids-refactor,get_metadata,8,13.01
pybids-refactor,get_metadata,9,11.53
pybids-refactor,get_return_type_dict,0,207.98
pybids-refactor,get_return_type_dict,1,209.38
pybids-refactor,get_return_type_dict,2,221.07
pybids-refactor,get_return_type_dict,3,191.07
pybids-refactor,get_return_type_dict,4,210.02
pybids-refactor,get_return_type_dict,5,215.79
pybids-refactor,get_return_type_dict,6,218.5
pybids-refactor,get_return_type_dict,7,192.18
pybids-refactor,get_return_type_dict,8,231.8
pybids-refactor,get_return_type_dict,9,295.77
